state;total_hospital_beds;total_icu_beds;hospital_bed_occupancy_rate;icu_bed_occupancy_rate;available_hospital_beds;potentially_available_hospital_beds;available_icu_beds;potentially_available_icu_beds;adult_population;population_65;projected_infected_individuals;projected_hospitalized_individuals;projected_individuals_needing_icu_care;hospital_beds_needed_six_months;percentage_of_available_beds_needed_six_months;percentage_of_potentially_available_beds_needed_six_months;percentage_of_total_beds_needed_six_months;hospital_beds_needed_twelve_months;percentage_of_available_beds_needed_twelve_months;percentage_of_potentially_available_beds_needed_twelve_months;percentage_of_total_beds_needed_twelve_months;hospital_beds_needed_eighteen_months;percentage_of_available_beds_needed_eighteen_months;percentage_of_potentially_available_beds_needed_eighteen_months;percentage_of_total_beds_needed_eighteen_months;icu_beds_needed_six_months;percentage_of_available_icu_beds_needed_six_months;percentage_of_potentially_available_icu_beds_needed_six_months;percentage_of_total_icu_beds_needed_six_months;icu_beds_needed_twelve_months;percentage_of_available_icu_beds_needed_twelve_months;percentage_of_potentially_available_icu_beds_needed_twelve_months;percentage_of_total_icu_beds_needed_twelve_months;icu_beds_needed_eighteen_months;percentage_of_available_icu_beds_needed_eighteen_months;percentage_of_potentially_available_icu_beds_needed_eighteen_months;percentage_of_total_icu_beds_needed_eighteen_months
NC;21065;3168;7;71;6288;13676;911;2040;7762882;1514937;4657729;971320;209161;64755;103;473;307;32377;515;237;154;21116;336;154;1;13944;1531;684;44;6972;765;342;22;4547;499;223;144
ND;3371;278;58;66;1420;2395;95;187;575105;107196;345063;71672;15359;4778;336;199;142;2389;168;1;71;1558;11;65;46;1024;1078;548;368;512;539;274;184;334;352;179;12
NE;5872;548;55;63;2630;4251;202;375;1424102;278598;854461;178228;38389;11882;452;28;202;5941;226;14;101;3875;147;91;66;2559;1267;682;467;1280;634;341;234;835;413;223;152
NH;2598;252;64;56;939;1768;110;181;1067991;219293;640795;134251;29070;8950;953;506;344;4475;477;253;172;2918;311;165;112;1938;1762;1071;769;969;881;535;385;632;575;349;251
NJ;20450;1891;67;55;6688;13569;846;1368;6960340;1353999;4176204;870657;187420;58044;868;428;284;29022;434;214;142;18927;283;139;93;12495;1477;913;661;6247;738;457;33;4074;482;298;215
NM;3460;460;6;59;1368;2414;188;324;1587101;328682;952261;199664;43276;13311;973;551;385;6655;486;276;192;4341;317;18;125;2885;1535;89;627;1443;768;445;314;941;501;29;205
NV;5610;1118;72;78;1548;3579;248;683;2217723;420330;1330634;276779;59416;18452;1192;516;329;9226;596;258;164;6017;389;168;107;3961;1597;58;354;1981;799;29;177;1292;521;189;116
NY;51713;4420;78;62;11549;31631;1670;3045;15594924;3008351;9356954;1949297;419237;129953;1125;411;251;64977;563;205;126;42376;367;134;82;27949;1674;918;632;13975;837;459;316;9114;546;299;206
OH;28127;3622;59;64;11419;19773;1297;2459;8982588;1844642;5389553;1129160;244507;75277;659;381;268;37639;33;19;134;24547;215;124;87;16300;1257;663;45;8150;628;331;225;5315;41;216;147
OK;10781;1164;56;63;4786;7783;427;796;2939976;574330;1763986;367894;79230;24526;512;315;227;12263;256;158;114;7998;167;103;74;5282;1237;664;454;2641;619;332;227;1722;403;216;148
OR;6789;837;63;6;2483;4636;336;587;3160871;655089;1896523;397679;86201;26512;1068;572;391;13256;534;286;195;8645;348;186;127;5747;171;979;687;2873;855;489;343;1874;558;319;224
PA;32817;3643;64;61;11721;22269;1427;2535;10101588;2181022;6060953;1275899;277852;85060;726;382;259;42530;363;191;13;27737;237;125;85;18523;1298;731;508;9262;649;365;254;6040;423;238;166
PR;7769;739;57;64;3355;5562;262;501;2737636;629621;1642582;347979;76344;23199;691;417;299;11599;346;209;149;7565;225;136;97;5090;1943;1016;689;2545;971;508;344;1660;634;331;225
RI;2117;279;7;72;644;1381;77;178;845556;170144;507334;106092;22921;7073;1098;512;334;3536;549;256;167;2306;358;167;109;1528;1984;858;548;764;992;429;274;498;647;28;178
SC;11457;1459;65;68;4066;7762;469;964;3802489;795256;2281493;478813;103893;31921;785;411;279;15960;393;206;139;10409;256;134;91;6926;1477;718;475;3463;738;359;237;2259;482;234;155
SD;4247;150;61;5;1663;2955;75;112;644483;132118;386690;81002;17537;5400;325;183;127;2700;162;91;64;1761;106;6;41;1169;1559;1044;779;585;78;522;39;381;508;34;254
